source_kategorie,target_kategorie,value
environment,environment,120
environment,keine_kategorie,3
impact,impact,2
keine_kategorie,environment,1
social,social,5
sustainable,keine_kategorie,12
sustainable,social,4
sustainable,sustainable,49
transition,environment,1
transition,transition,7
watchlist,watchlist,38
