source_kategorie,target_kategorie,value
environment,environment,33
environment,watchlist,12
sustainable,environment,2
sustainable,keine_kategorie,2
sustainable,sustainable,7
sustainable,watchlist,9
transition,transition,4
watchlist,watchlist,2
