source_kategorie,target_kategorie,value
environment,environment,20
environment,keine_kategorie,3
environment,watchlist,21
sustainable,environment,4
sustainable,keine_kategorie,1
sustainable,sustainable,2
transition,environment,5
watchlist,watchlist,2
