source_kategorie,target_kategorie,value
environment,environment,203
environment,keine_kategorie,13
environment,watchlist,20
impact,impact,15
keine_kategorie,environment,6
social,social,13
sustainable,keine_kategorie,2
sustainable,sustainable,13
transition,environment,7
transition,transition,48
watchlist,keine_kategorie,1
watchlist,watchlist,42
