source_kategorie,target_kategorie,value
environment,environment,13
environment,keine_kategorie,4
environment,watchlist,18
keine_kategorie,watchlist,2
sustainable,environment,3
sustainable,sustainable,2
sustainable,transition,1
transition,transition,1
watchlist,watchlist,8
